Year,School_Id,Class,Drops_Male,Drops_Female
2014.0,102606.0,7.0,0.0,1.0
2014.0,103002.0,8.0,1.0,0.0
2014.0,103002.0,9.0,1.0,2.0
2014.0,103002.0,10.0,2.0,1.0
2014.0,103002.0,11.0,0.0,2.0
2014.0,103004.0,4.0,1.0,0.0
2014.0,103004.0,7.0,1.0,0.0
2014.0,103005.0,4.0,0.0,1.0
2014.0,103005.0,8.0,0.0,1.0
2014.0,103008.0,4.0,1.0,0.0
2014.0,103008.0,5.0,0.0,1.0
2014.0,103009.0,1.0,0.0,1.0
2014.0,103009.0,2.0,0.0,1.0
2014.0,103009.0,3.0,1.0,0.0
2014.0,103009.0,4.0,2.0,1.0
2014.0,103009.0,5.0,3.0,0.0
2014.0,103009.0,6.0,1.0,0.0
2014.0,103009.0,7.0,4.0,3.0
2014.0,103009.0,8.0,4.0,1.0
2014.0,103019.0,5.0,0.0,1.0
2014.0,103019.0,6.0,1.0,0.0
2014.0,103019.0,8.0,0.0,1.0
2014.0,103133.0,1.0,1.0,0.0
2014.0,103133.0,3.0,0.0,1.0
2014.0,103133.0,4.0,1.0,0.0
2014.0,103133.0,6.0,1.0,0.0
2014.0,103133.0,7.0,0.0,1.0
2014.0,103133.0,9.0,0.0,2.0
2014.0,103310.0,1.0,1.0,1.0
2014.0,103310.0,3.0,2.0,2.0
2014.0,103310.0,4.0,2.0,2.0
2014.0,103310.0,5.0,4.0,1.0
2014.0,103310.0,6.0,3.0,0.0
2014.0,103310.0,7.0,2.0,3.0
2014.0,103310.0,8.0,3.0,2.0
2014.0,103401.0,3.0,0.0,1.0
2014.0,103401.0,8.0,0.0,1.0
2014.0,103402.0,1.0,2.0,1.0
2014.0,103402.0,2.0,0.0,1.0
2014.0,103402.0,3.0,0.0,2.0
2014.0,103402.0,4.0,4.0,1.0
2014.0,103402.0,5.0,1.0,1.0
2014.0,103402.0,8.0,3.0,5.0
2014.0,103403.0,1.0,1.0,1.0
2014.0,103403.0,2.0,0.0,1.0
2014.0,103403.0,3.0,0.0,1.0
2014.0,103403.0,5.0,2.0,0.0
2014.0,103403.0,7.0,1.0,0.0
2014.0,103403.0,8.0,1.0,0.0
2014.0,103404.0,3.0,0.0,1.0
2014.0,103404.0,4.0,1.0,0.0
2014.0,103404.0,5.0,0.0,1.0
2014.0,103404.0,6.0,3.0,1.0
2014.0,103404.0,7.0,2.0,0.0
2014.0,103404.0,8.0,3.0,0.0
2014.0,103405.0,8.0,1.0,0.0
2014.0,103407.0,8.0,0.0,1.0
2014.0,103409.0,8.0,0.0,2.0
2014.0,103410.0,1.0,1.0,1.0
2014.0,103410.0,4.0,1.0,0.0
2014.0,103410.0,8.0,1.0,3.0
2014.0,103501.0,3.0,0.0,1.0
2014.0,103501.0,5.0,2.0,0.0
2014.0,103501.0,6.0,1.0,1.0
2014.0,103501.0,7.0,1.0,1.0
2014.0,103501.0,8.0,1.0,2.0
2014.0,103501.0,9.0,0.0,1.0
2014.0,103501.0,11.0,0.0,1.0
2014.0,103502.0,6.0,2.0,0.0
2014.0,103502.0,7.0,1.0,2.0
2014.0,103503.0,6.0,1.0,2.0
2014.0,103503.0,8.0,0.0,2.0
2014.0,103506.0,2.0,1.0,0.0
2014.0,103506.0,5.0,0.0,1.0
2014.0,103507.0,2.0,1.0,0.0
2014.0,103507.0,4.0,1.0,0.0
2014.0,103508.0,5.0,1.0,0.0
2014.0,103508.0,6.0,1.0,0.0
2014.0,103510.0,3.0,1.0,0.0
2014.0,103510.0,4.0,0.0,1.0
